"Morrongiello, J.R.1,2, & Thresher, R.E.1 A statistical framework to explore ontogenetic growth variation among individuals and populations: a marine fish example. Ecological Monographs",,,,,,,
"1 CSIRO Marine and Atmospheric Research, Wealth from Oceans Flagship, GPO Box 1538, Hobart, TAS 7001, Australia",,,,,,,
2 email: jrmorrongiello@gmail.com,,,,,,,
FishID,zone,sex,AAC,Cohort,Age,Year,Increment
fish337,D,F,5,1994,2,1994,0.286871
fish337,D,F,5,1994,3,1994,0.185124
fish337,D,F,5,1994,4,1994,0.178768
fish337,D,F,5,1994,5,1994,0.0862
fish69,F,M,7,1992,2,1992,0.254272
fish69,F,M,7,1992,3,1992,0.161128
fish69,F,M,7,1992,4,1992,0.113709
fish69,F,M,7,1992,5,1992,0.107416
fish69,F,M,7,1992,6,1992,0.09315
fish69,F,M,7,1992,7,1992,0.0588
fish432,B,F,3,1996,2,1996,0.208677
fish432,B,F,3,1996,3,1996,0.2119
fish444,H,M,3,1996,2,1996,0.211891
fish444,H,M,3,1996,3,1996,0.164906
fish807,H,M,2,1997,2,1997,0.237721
fish110,D,F,2,1998,2,1998,0.216525
fish184,C,F,6,1994,2,1994,0.331131
fish184,C,F,6,1994,3,1994,0.188695
fish184,C,F,6,1994,4,1994,0.15304
fish184,C,F,6,1994,5,1994,0.13861
fish184,C,F,6,1994,6,1994,0.10053
fish993,E,F,5,1995,2,1995,0.239974
fish993,E,F,5,1995,3,1995,0.126917
fish993,E,F,5,1995,4,1995,0.126917
fish993,E,F,5,1995,5,1995,0.097012
fish121,B,F,6,1994,2,1994,0.232085
fish121,B,F,6,1994,3,1994,0.163349
fish121,B,F,6,1994,4,1994,0.106566
fish121,B,F,6,1994,5,1994,0.14097
fish121,B,F,6,1994,6,1994,0.13153
fish285,D,F,11,1989,2,1989,0.168063
fish285,D,F,11,1989,3,1989,0.150004
fish285,D,F,11,1989,4,1989,0.140833
fish285,D,F,11,1989,5,1989,0.150004
fish285,D,F,11,1989,6,1989,0.10116
fish285,D,F,11,1989,7,1989,0.08492
fish285,D,F,11,1989,8,1989,0.11561
fish285,D,F,11,1989,9,1989,0.08132
fish285,D,F,11,1989,10,1989,0.03434
fish285,D,F,11,1989,11,1989,0.06682
fish389,F,M,3,1997,2,1997,0.2675
fish389,F,M,3,1997,3,1997,0.10315
fish338,A,M,5,1995,2,1995,0.205212
fish338,A,M,5,1995,3,1995,0.305378
fish338,A,M,5,1995,4,1995,0.157493
fish338,A,M,5,1995,5,1995,0.09219
fish235,C,M,5,1995,2,1995,0.231516
fish235,C,M,5,1995,3,1995,0.160884
fish235,C,M,5,1995,4,1995,0.147541
fish235,C,M,5,1995,5,1995,0.13518
fish500,H,M,3,1997,2,1997,0.227064
fish500,H,M,3,1997,3,1997,0.18387
fish719,A,M,2,1998,2,1998,0.216012
fish756,C,M,13,1989,2,1989,0.261729
fish756,C,M,13,1989,3,1989,0.167809
fish756,C,M,13,1989,4,1989,0.09481
fish756,C,M,13,1989,5,1989,0.125527
fish756,C,M,13,1989,6,1989,0.093157
fish756,C,M,13,1989,7,1989,0.08324
fish756,C,M,13,1989,8,1989,0.0882
fish756,C,M,13,1989,9,1989,0.10472
fish756,C,M,13,1989,10,1989,0.08589
fish756,C,M,13,1989,11,1989,0.07961
fish756,C,M,13,1989,12,1989,0.06078
fish756,C,M,13,1989,13,1989,0.0512
fish294,C,M,5,1997,2,1997,0.27729
fish294,C,M,5,1997,3,1997,0.182767
fish294,C,M,5,1997,4,1997,0.14385
fish294,C,M,5,1997,5,1997,0.16382
fish739,F,F,3,1999,2,1999,0.281774
fish739,F,F,3,1999,3,1999,0.190983
fish140,J,M,4,1998,2,1998,0.397857
fish140,J,M,4,1998,3,1998,0.222305
fish140,J,M,4,1998,4,1998,0.119786
fish703,A,M,3,1999,2,1999,0.255017
fish703,A,M,3,1999,3,1999,0.214321
fish994,J,F,4,1998,2,1998,0.317346
fish994,J,F,4,1998,3,1998,0.215045
fish994,J,F,4,1998,4,1998,0.151333
fish567,D,F,10,1992,2,1992,0.299955
fish567,D,F,10,1992,3,1992,0.180363
fish567,D,F,10,1992,4,1992,0.132778
fish567,D,F,10,1992,5,1992,0.144715
fish567,D,F,10,1992,6,1992,0.10933
fish567,D,F,10,1992,7,1992,0.07961
fish567,D,F,10,1992,8,1992,0.08554
fish567,D,F,10,1992,9,1992,0.09978
fish567,D,F,10,1992,10,1992,0.06935
fish398,I,F,8,1994,2,1994,0.307923
fish398,I,F,8,1994,3,1994,0.205475
fish398,I,F,8,1994,4,1994,0.218499
fish398,I,F,8,1994,5,1994,0.13804
fish398,I,F,8,1994,6,1994,0.10708
fish398,I,F,8,1994,7,1994,0.09869
fish398,I,F,8,1994,8,1994,0.09724
fish54,C,F,3,1999,2,1999,0.397254
fish54,C,F,3,1999,3,1999,0.296169
fish309,B,F,4,1998,2,1998,0.293559
fish309,B,F,4,1998,3,1998,0.204105
fish309,B,F,4,1998,4,1998,0.14217
fish117,C,F,5,1997,2,1997,0.284327
fish117,C,F,5,1997,3,1997,0.318771
fish117,C,F,5,1997,4,1997,0.179328
fish117,C,F,5,1997,5,1997,0.134207
fish679,A,F,3,1999,2,1999,0.305127
fish679,A,F,3,1999,3,1999,0.200715
fish77,D,F,3,1999,2,1999,0.327919
fish77,D,F,3,1999,3,1999,0.303704
fish907,D,F,4,1998,2,1998,0.277915
fish907,D,F,4,1998,3,1998,0.15843
fish907,D,F,4,1998,4,1998,0.213096
fish638,J,F,4,1998,2,1998,0.259024445
fish638,J,F,4,1998,3,1998,0.188299515
fish638,J,F,4,1998,4,1998,0.198206618
fish423,H,M,8,1994,2,1994,0.273798098
fish423,H,M,8,1994,3,1994,0.147286071
fish423,H,M,8,1994,4,1994,0.158812551
fish423,H,M,8,1994,5,1994,0.092326906
fish423,H,M,8,1994,6,1994,0.119854902
fish423,H,M,8,1994,7,1994,0.131283152
fish423,H,M,8,1994,8,1994,0.084178103
fish749,D,M,4,1998,2,1998,0.205399793
fish749,D,M,4,1998,3,1998,0.229115096
fish749,D,M,4,1998,4,1998,0.152349078
fish95,J,F,4,1998,2,1998,0.211033931
fish95,J,F,4,1998,3,1998,0.165361623
fish95,J,F,4,1998,4,1998,0.123155398
fish456,A,M,4,1998,2,1998,0.239888019
fish456,A,M,4,1998,3,1998,0.193251663
fish456,A,M,4,1998,4,1998,0.140588251
fish661,D,F,4,1999,2,1999,0.267458
fish661,D,F,4,1999,3,1999,0.23139
fish661,D,F,4,1999,4,1999,0.12031
fish346,H,F,13,1991,2,1991,0.251717
fish346,H,F,13,1991,3,1991,0.135883
fish346,H,F,13,1991,4,1991,0.219417
fish346,H,F,13,1991,5,1991,0.125855
fish346,H,F,13,1991,6,1991,0.14034
fish346,H,F,13,1991,7,1991,0.10247
fish346,H,F,13,1991,8,1991,0.13366
fish346,H,F,13,1991,9,1991,0.13254
fish346,H,F,13,1991,10,1991,0.11695
fish346,H,F,13,1991,11,1991,0.06125
fish346,H,F,13,1991,12,1991,0.05347
fish346,H,F,13,1991,13,1991,0.05346
fish673,G,F,5,1999,2,1999,0.332413
fish673,G,F,5,1999,3,1999,0.175921
fish673,G,F,5,1999,4,1999,0.162903
fish673,G,F,5,1999,5,1999,0.15747
fish612,F,M,6,1998,2,1998,0.285138
fish612,F,M,6,1998,3,1998,0.239989
fish612,F,M,6,1998,4,1998,0.132456
fish612,F,M,6,1998,5,1998,0.10322
fish612,F,M,6,1998,6,1998,0.077
fish973,E,M,4,2000,2,2000,0.224286
fish973,E,M,4,2000,3,2000,0.201552
fish973,E,M,4,2000,4,2000,0.179683
fish406,A,M,3,2001,2,2001,0.329793
fish643,E,F,5,1999,2,1999,0.292488
fish643,E,F,5,1999,3,1999,0.211614
fish643,E,F,5,1999,4,1999,0.183925
fish643,E,F,5,1999,5,1999,0.13677
fish301,C,F,7,1997,2,1997,0.238515
fish301,C,F,7,1997,3,1997,0.163202
fish301,C,F,7,1997,4,1997,0.104978
fish301,C,F,7,1997,5,1997,0.160911
fish301,C,F,7,1997,6,1997,0.08559
fish898,I,F,5,2000,2,2000,0.214521
fish898,I,F,5,2000,3,2000,0.210329
fish898,I,F,5,2000,4,2000,0.171205
fish898,I,F,5,2000,5,2000,0.07567
fish546,E,F,5,2000,2,2000,0.280107
fish546,E,F,5,2000,3,2000,0.146753
fish546,E,F,5,2000,4,2000,0.13836
fish546,E,F,5,2000,5,2000,0.115646
fish600,H,F,4,2001,2,2001,0.36394
fish600,H,F,4,2001,3,2001,0.242102
fish600,H,F,4,2001,4,2001,0.124856
fish277,G,M,5,2000,2,2000,0.21985
fish277,G,M,5,2000,3,2000,0.200096
fish277,G,M,5,2000,4,2000,0.144938
fish277,G,M,5,2000,5,2000,0.156848
fish985,J,M,3,2002,2,2002,0.238961
fish985,J,M,3,2002,3,2002,0.278653
fish299,D,F,7,1998,2,1998,0.329031
fish299,D,F,7,1998,3,1998,0.14521
fish299,D,F,7,1998,4,1998,0.174994
fish299,D,F,7,1998,5,1998,0.11025
fish299,D,F,7,1998,6,1998,0.1015
fish299,D,F,7,1998,7,1998,0.1032
fish523,E,F,6,1999,2,1999,0.399462
fish523,E,F,6,1999,3,1999,0.180396
fish523,E,F,6,1999,4,1999,0.15936
fish523,E,F,6,1999,5,1999,0.18255
fish523,E,F,6,1999,6,1999,0.16816
fish473,J,F,7,1998,2,1998,0.290334
fish473,J,F,7,1998,3,1998,0.144879
fish473,J,F,7,1998,4,1998,0.125639
fish473,J,F,7,1998,5,1998,0.148281
fish473,J,F,7,1998,6,1998,0.13243
fish473,J,F,7,1998,7,1998,0.13244
fish716,F,M,3,2002,2,2002,0.264865
fish716,F,M,3,2002,3,2002,0.206325
fish113,B,F,2,2003,2,2003,0.352285
fish321,H,F,3,2002,2,2002,0.288025
fish321,H,F,3,2002,3,2002,0.200895
fish164,A,M,3,2002,2,2002,0.310841
fish164,A,M,3,2002,3,2002,0.245251
fish573,F,M,3,2002,2,2002,0.330573
fish573,F,M,3,2002,3,2002,0.230368
fish302,F,M,17,1988,2,1988,0.296506
fish302,F,M,17,1988,3,1988,0.238166
fish302,F,M,17,1988,4,1988,0.11404
fish302,F,M,17,1988,5,1988,0.12783
fish302,F,M,17,1988,6,1988,0.08699
fish302,F,M,17,1988,7,1988,0.0732
fish302,F,M,17,1988,8,1988,0.08222
fish302,F,M,17,1988,9,1988,0.10556
fish302,F,M,17,1988,10,1988,0.06365
fish92,I,F,3,2002,2,2002,0.487129
fish92,I,F,3,2002,3,2002,0.29548
fish46,E,M,3,2002,2,2002,0.304584
fish46,E,M,3,2002,3,2002,0.217559
fish903,A,M,5,2000,2,2000,0.276019
fish903,A,M,5,2000,3,2000,0.274815
fish903,A,M,5,2000,4,2000,0.198397
fish903,A,M,5,2000,5,2000,0.11957
fish324,D,M,5,2000,2,2000,0.301606
fish324,D,M,5,2000,3,2000,0.173243
fish324,D,M,5,2000,4,2000,0.136813
fish324,D,M,5,2000,5,2000,0.102472
fish75,A,F,6,1999,2,1999,0.225013
fish75,A,F,6,1999,3,1999,0.206902
fish75,A,F,6,1999,4,1999,0.105571
fish75,A,F,6,1999,5,1999,0.12425
fish75,A,F,6,1999,6,1999,0.13699
fish445,H,F,6,1999,2,1999,0.223989
fish445,H,F,6,1999,3,1999,0.219476
fish445,H,F,6,1999,4,1999,0.182602
fish445,H,F,6,1999,5,1999,0.1682
fish445,H,F,6,1999,6,1999,0.12861
fish532,H,F,7,1998,2,1998,0.198047
fish532,H,F,7,1998,3,1998,0.175789
fish532,H,F,7,1998,4,1998,0.136793
fish532,H,F,7,1998,5,1998,0.126715
fish532,H,F,7,1998,6,1998,0.16019
fish532,H,F,7,1998,7,1998,0.15905
fish617,F,F,4,2001,2,2001,0.167856
fish617,F,F,4,2001,3,2001,0.245569
fish617,F,F,4,2001,4,2001,0.111987
fish320,D,F,6,1999,2,1999,0.25415
fish320,D,F,6,1999,3,1999,0.161391
fish320,D,F,6,1999,4,1999,0.129111
fish320,D,F,6,1999,5,1999,0.139497
fish320,D,F,6,1999,6,1999,0.109361
fish656,D,M,4,2001,2,2001,0.362327
fish656,D,M,4,2001,3,2001,0.174474
fish656,D,M,4,2001,4,2001,0.17448
fish392,J,F,3,2002,2,2002,0.333125
fish392,J,F,3,2002,3,2002,0.350994
fish50,H,F,4,2001,2,2001,0.279569
fish50,H,F,4,2001,3,2001,0.156358
fish50,H,F,4,2001,4,2001,0.148071
fish249,E,F,3,2002,2,2002,0.277376
fish249,E,F,3,2002,3,2002,0.143239
fish485,I,F,3,2002,2,2002,0.203302
fish485,I,F,3,2002,3,2002,0.188574
fish960,E,M,5,2000,2,2000,0.262689
fish960,E,M,5,2000,3,2000,0.148845
fish960,E,M,5,2000,4,2000,0.148845
fish960,E,M,5,2000,5,2000,0.099182
fish196,A,M,3,2002,2,2002,0.308623
fish196,A,M,3,2002,3,2002,0.26745
fish805,E,M,4,2001,2,2001,0.224867
fish805,E,M,4,2001,3,2001,0.223508
fish805,E,M,4,2001,4,2001,0.146736
fish768,F,M,6,1999,2,1999,0.226547
fish768,F,M,6,1999,3,1999,0.175441
fish768,F,M,6,1999,4,1999,0.131961
fish768,F,M,6,1999,5,1999,0.135776
fish768,F,M,6,1999,6,1999,0.110606
fish368,E,M,5,2000,2,2000,0.17807
fish368,E,M,5,2000,3,2000,0.152229
fish368,E,M,5,2000,4,2000,0.149442
fish368,E,M,5,2000,5,2000,0.119417
fish816,J,F,4,2001,2,2001,0.200178
fish816,J,F,4,2001,3,2001,0.137334
fish816,J,F,4,2001,4,2001,0.164753
fish45,E,M,4,2001,2,2001,0.189354
fish45,E,M,4,2001,3,2001,0.123011
fish45,E,M,4,2001,4,2001,0.118172
fish172,I,M,5,2000,2,2000,0.178338
fish172,I,M,5,2000,3,2000,0.144151
fish172,I,M,5,2000,4,2000,0.106319
fish172,I,M,5,2000,5,2000,0.100849
fish215,D,M,3,2002,2,2002,0.283213
fish215,D,M,3,2002,3,2002,0.131805
fish886,E,M,4,2001,2,2001,0.270076
fish886,E,M,4,2001,3,2001,0.177603
fish886,E,M,4,2001,4,2001,0.214992
fish845,D,M,4,2001,2,2001,0.229494
fish845,D,M,4,2001,3,2001,0.238107
fish845,D,M,4,2001,4,2001,0.235235
fish660,G,M,3,2002,2,2002,0.274393
fish660,G,M,3,2002,3,2002,0.225761
fish601,A,F,10,1999,2,1999,0.215
fish601,A,F,10,1999,3,1999,0.162
fish601,A,F,10,1999,4,1999,0.17
fish601,A,F,10,1999,5,1999,0.105
fish601,A,F,10,1999,6,1999,0.186
fish601,A,F,10,1999,7,1999,0.138
fish601,A,F,10,1999,8,1999,0.109
fish601,A,F,10,1999,9,1999,0.096
fish476,E,F,6,2003,2,2003,0.312
fish476,E,F,6,2003,3,2003,0.169
fish476,E,F,6,2003,4,2003,0.129
fish476,E,F,6,2003,5,2003,0.162
fish31,G,M,8,2001,2,2001,0.235
fish31,G,M,8,2001,3,2001,0.146
fish31,G,M,8,2001,4,2001,0.181
fish31,G,M,8,2001,5,2001,0.114
fish31,G,M,8,2001,6,2001,0.119
fish31,G,M,8,2001,7,2001,0.092
fish332,I,F,3,2006,2,2006,0.369
fish332,I,F,3,2006,3,2006,0.326
fish804,A,M,8,2001,2,2001,0.297
fish804,A,M,8,2001,3,2001,0.17
fish804,A,M,8,2001,4,2001,0.092
fish804,A,M,8,2001,5,2001,0.104
fish804,A,M,8,2001,6,2001,0.086
fish804,A,M,8,2001,7,2001,0.097
fish804,A,M,8,2001,8,2001,0.077
fish203,B,F,4,2005,2,2005,0.253
fish203,B,F,4,2005,3,2005,0.204
fish203,B,F,4,2005,4,2005,0.137
fish60,H,M,6,2003,2,2003,0.327
fish60,H,M,6,2003,3,2003,0.13
fish60,H,M,6,2003,4,2003,0.167
fish60,H,M,6,2003,5,2003,0.146
fish60,H,M,6,2003,6,2003,0.113
fish312,I,F,7,2002,2,2002,0.214
fish312,I,F,7,2002,3,2002,0.19
fish312,I,F,7,2002,4,2002,0.085
fish312,I,F,7,2002,5,2002,0.184
fish312,I,F,7,2002,6,2002,0.146
fish577,D,M,6,2003,2,2003,0.31
fish577,D,M,6,2003,3,2003,0.232
fish577,D,M,6,2003,4,2003,0.146
fish577,D,M,6,2003,5,2003,0.145
fish577,D,M,6,2003,6,2003,0.114
fish43,F,F,6,2003,2,2003,0.205
fish43,F,F,6,2003,3,2003,0.313
fish43,F,F,6,2003,4,2003,0.146
fish43,F,F,6,2003,5,2003,0.266
fish43,F,F,6,2003,6,2003,0.104
fish262,E,M,9,2000,2,2000,0.266
fish262,E,M,9,2000,3,2000,0.192
fish262,E,M,9,2000,4,2000,0.189
fish262,E,M,9,2000,5,2000,0.12
fish262,E,M,9,2000,6,2000,0.093
fish262,E,M,9,2000,7,2000,0.135
fish262,E,M,9,2000,8,2000,0.079
fish262,E,M,9,2000,9,2000,0.099
fish131,B,F,6,2003,2,2003,0.241
fish131,B,F,6,2003,3,2003,0.134
fish131,B,F,6,2003,4,2003,0.163
fish131,B,F,6,2003,5,2003,0.167
fish131,B,F,6,2003,6,2003,0.129
fish298,D,F,7,2002,2,2002,0.225
fish298,D,F,7,2002,3,2002,0.176
fish298,D,F,7,2002,4,2002,0.156
fish298,D,F,7,2002,5,2002,0.119
fish298,D,F,7,2002,6,2002,0.096
fish858,A,F,6,2003,2,2003,0.23
fish858,A,F,6,2003,3,2003,0.208
fish858,A,F,6,2003,4,2003,0.256
fish858,A,F,6,2003,5,2003,0.129
fish858,A,F,6,2003,6,2003,0.149
fish645,D,F,3,2006,2,2006,0.372
fish645,D,F,3,2006,3,2006,0.208
fish402,G,F,3,2006,2,2006,0.241
fish402,G,F,3,2006,3,2006,0.225
fish699,H,F,5,2004,2,2004,0.424
fish699,H,F,5,2004,3,2004,0.208
fish699,H,F,5,2004,4,2004,0.224
fish699,H,F,5,2004,5,2004,0.15
fish965,J,F,7,2002,2,2002,0.306
fish965,J,F,7,2002,3,2002,0.207
fish965,J,F,7,2002,4,2002,0.237
fish965,J,F,7,2002,5,2002,0.123
fish965,J,F,7,2002,6,2002,0.14
fish965,J,F,7,2002,7,2002,0.15
fish370,A,F,6,2003,2,2003,0.271
fish370,A,F,6,2003,3,2003,0.248
fish370,A,F,6,2003,4,2003,0.214
fish370,A,F,6,2003,5,2003,0.156
fish370,A,F,6,2003,6,2003,0.135
fish548,C,M,6,2003,2,2003,0.178
fish548,C,M,6,2003,3,2003,0.228
fish548,C,M,6,2003,4,2003,0.132
fish548,C,M,6,2003,5,2003,0.146
fish548,C,M,6,2003,6,2003,0.179
fish38,I,M,4,2005,2,2005,0.392
fish38,I,F,4,2005,3,2005,0.13
fish38,I,M,4,2005,4,2005,0.144
fish490,G,F,2,2007,2,2007,0.332
fish394,C,M,3,2006,2,2006,0.329
fish394,C,F,3,2006,3,2006,0.162
fish513,I,F,2,2007,2,2007,0.335
fish696,C,M,2,2007,2,2007,0.273
fish961,D,F,3,2006,2,2006,0.316
fish961,D,M,3,2006,3,2006,0.265
fish954,F,F,2,2007,2,2007,0.28
fish777,F,M,7,2002,2,2002,0.138
fish777,F,M,7,2002,3,2002,0.13
fish777,F,M,7,2002,4,2002,0.108
fish777,F,M,7,2002,5,2002,0.149
fish777,F,M,7,2002,6,2002,0.122
fish777,F,M,7,2002,7,2002,0.078
fish107,B,M,6,2003,2,2003,0.259
fish107,B,M,6,2003,3,2003,0.154
fish107,B,M,6,2003,4,2003,0.134
fish107,B,M,6,2003,5,2003,0.134
fish107,B,M,6,2003,6,2003,0.143
fish127,D,M,6,2003,2,2003,0.297
fish127,D,M,6,2003,3,2003,0.22
fish127,D,M,6,2003,4,2003,0.102
fish127,D,M,6,2003,5,2003,0.134
fish127,D,M,6,2003,6,2003,0.079
fish296,G,M,6,2003,2,2003,0.219
fish296,G,M,6,2003,3,2003,0.149
fish296,G,M,6,2003,4,2003,0.193
fish296,G,M,6,2003,5,2003,0.122
fish296,G,M,6,2003,6,2003,0.169
fish508,E,M,3,2006,2,2006,0.227
fish508,E,M,3,2006,3,2006,0.285
fish646,B,F,2,2007,2,2007,0.322
fish26,D,F,2,2007,2,2007,0.364
fish130,J,M,2,2007,2,2007,0.355
fish918,D,F,3,2006,2,2006,0.275
fish918,D,F,3,2006,3,2006,0.284
fish576,C,M,2,2007,2,2007,0.316
fish55,B,F,3,2006,2,2006,0.311
fish55,B,M,3,2006,3,2006,0.288
fish785,G,M,3,2006,2,2006,0.365
fish785,G,F,3,2006,3,2006,0.294
fish304,J,M,6,2003,2,2003,0.287
fish304,J,M,6,2003,3,2003,0.187
fish304,J,M,6,2003,4,2003,0.179
fish304,J,M,6,2003,5,2003,0.214
fish304,J,M,6,2003,6,2003,0.123
fish760,D,M,5,2004,2,2004,0.387
fish760,D,M,5,2004,3,2004,0.145
fish760,D,M,5,2004,4,2004,0.14
fish760,D,M,5,2004,5,2004,0.171
fish644,J,M,5,2004,2,2004,0.252
fish644,J,M,5,2004,3,2004,0.204
fish644,J,M,5,2004,4,2004,0.205
fish644,J,M,5,2004,5,2004,0.124
fish611,I,M,3,2006,2,2006,0.261
fish611,I,M,3,2006,3,2006,0.252
fish839,I,M,5,2004,2,2004,0.33
fish839,I,M,5,2004,3,2004,0.236
fish839,I,M,5,2004,4,2004,0.18
fish839,I,M,5,2004,5,2004,0.185
fish557,E,M,2,2007,2,2007,0.265
fish906,G,F,7,2002,2,2002,0.204
fish906,G,F,7,2002,3,2002,0.261
fish906,G,M,7,2002,4,2002,0.14
fish906,G,F,7,2002,5,2002,0.116
fish906,G,F,7,2002,6,2002,0.144
fish906,G,F,7,2002,7,2002,0.125
fish427,J,M,3,2006,2,2006,0.268
fish427,J,F,3,2006,3,2006,0.273
fish138,D,M,5,2004,2,2004,0.263
fish138,D,F,5,2004,3,2004,0.167
fish138,D,M,5,2004,4,2004,0.166
fish138,D,M,5,2004,5,2004,0.144
fish9,B,F,3,2006,2,2006,0.232
fish9,B,F,3,2006,3,2006,0.188
fish915,B,M,2,2007,2,2007,0.319
fish354,D,F,5,2004,2,2004,0.24
fish354,D,M,5,2004,3,2004,0.122
fish354,D,F,5,2004,4,2004,0.183
fish354,D,M,5,2004,5,2004,0.133
fish201,E,F,4,2005,2,2005,0.365
fish201,E,F,4,2005,3,2005,0.201
fish201,E,F,4,2005,4,2005,0.177
fish25,F,F,3,2006,2,2006,0.282
fish25,F,F,3,2006,3,2006,0.188
fish608,C,F,6,2003,2,2003,0.28
fish608,C,F,6,2003,3,2003,0.195
fish608,C,F,6,2003,4,2003,0.147
fish608,C,F,6,2003,5,2003,0.127
fish608,C,F,6,2003,6,2003,0.072
fish880,G,M,8,2001,2,2001,0.23
fish880,G,M,8,2001,3,2001,0.161
fish880,G,M,8,2001,4,2001,0.161
fish880,G,M,8,2001,5,2001,0.116
fish880,G,M,8,2001,6,2001,0.069
fish880,G,M,8,2001,7,2001,0.084
fish880,G,M,8,2001,8,2001,0.078
fish212,I,F,4,2005,2,2005,0.283
fish212,I,F,4,2005,3,2005,0.205
fish212,I,F,4,2005,4,2005,0.23
fish226,I,M,3,2006,2,2006,0.28
fish226,I,M,3,2006,3,2006,0.158
fish517,G,M,2,2007,2,2007,0.33
fish253,F,M,3,2006,2,2006,0.286
fish253,F,M,3,2006,3,2006,0.287
fish534,I,M,4,2005,2,2005,0.191
fish534,I,M,4,2005,3,2005,0.238
fish534,I,M,4,2005,4,2005,0.212
fish144,E,M,4,2005,2,2005,0.267
fish144,E,M,4,2005,3,2005,0.207
fish144,E,M,4,2005,4,2005,0.121
fish767,J,F,3,2006,2,2006,0.32
fish767,J,F,3,2006,3,2006,0.108
fish521,J,M,8,2001,2,2001,0.309
fish521,J,M,8,2001,3,2001,0.198
fish521,J,M,8,2001,4,2001,0.169
fish521,J,M,8,2001,5,2001,0.138
fish521,J,M,8,2001,6,2001,0.135
fish521,J,M,8,2001,7,2001,0.093
fish521,J,M,8,2001,8,2001,0.06
fish678,A,F,6,2003,2,2003,0.264
fish678,A,F,6,2003,3,2003,0.191
fish678,A,F,6,2003,4,2003,0.21
fish678,A,F,6,2003,5,2003,0.173
fish678,A,F,6,2003,6,2003,0.156
fish93,F,F,5,2005,2,2005,0.224
fish93,F,F,5,2005,3,2005,0.193
fish93,F,F,5,2005,4,2005,0.165
fish93,F,F,5,2005,5,2005,0.202
fish932,J,F,3,2007,2,2007,0.332
fish472,D,F,7,2003,2,2003,0.231
fish472,D,F,7,2003,3,2003,0.207
fish472,D,M,7,2003,4,2003,0.177
fish472,D,F,7,2003,5,2003,0.196
fish472,D,F,7,2003,6,2003,0.083
fish472,D,F,7,2003,7,2003,0.095
fish470,F,F,7,2003,2,2003,0.234
fish470,F,F,7,2003,3,2003,0.261
fish470,F,F,7,2003,4,2003,0.242
fish470,F,F,7,2003,5,2003,0.128
fish470,F,F,7,2003,6,2003,0.173
fish91,A,F,5,2005,2,2005,0.223
fish91,A,F,5,2005,3,2005,0.183
fish91,A,F,5,2005,4,2005,0.207
fish727,G,F,6,2004,2,2004,0.283
fish727,G,F,6,2004,3,2004,0.282
fish727,G,F,6,2004,4,2004,0.234
fish727,G,F,6,2004,5,2004,0.192
fish727,G,F,6,2004,6,2004,0.195
fish543,H,F,7,2003,2,2003,0.337
fish543,H,F,7,2003,3,2003,0.234
fish543,H,F,7,2003,4,2003,0.189
fish543,H,F,7,2003,5,2003,0.212
fish543,H,F,7,2003,6,2003,0.126
fish543,H,F,7,2003,7,2003,0.11
fish419,I,F,4,2006,2,2006,0.251
fish419,I,F,4,2006,3,2006,0.325
fish419,I,F,4,2006,4,2006,0.2
fish86,E,F,3,2007,2,2007,0.284
fish86,E,F,3,2007,3,2007,0.243
fish556,I,F,5,2005,2,2005,0.216
fish556,I,F,5,2005,3,2005,0.222
fish556,I,M,5,2005,4,2005,0.176
